parcel 217: rho -0.046322258092569076 , p-value 0.9994 
parcel 218: rho -0.0244612860658965 , p-value 0.9958 
parcel 219: rho -0.04943154652739001 , p-value 0.9995999999999999 
parcel 220: rho -0.08738472660425806 , p-value 1.0 
parcel 221: rho -0.07924147406538509 , p-value 1.0 
parcel 222: rho -0.09567278010249763 , p-value 1.0 
parcel 223: rho 0.1485782205264467 , p-value 0.4643 
parcel 224: rho -0.03332282117615389 , p-value 0.9979 
parcel 225: rho -0.0009166385422232756 , p-value 0.9876 
parcel 226: rho -0.032102137543055076 , p-value 0.9978 
parcel 227: rho -0.0021829890577790335 , p-value 0.9883 
parcel 228: rho -0.09395625184133671 , p-value 1.0 
parcel 229: rho -0.00875486470722791 , p-value 0.991 
parcel 230: rho 0.09476265339015426 , p-value 0.7645000000000001 
parcel 231: rho -0.062268307388945086 , p-value 0.9998999999999999 
parcel 232: rho -0.03955507428976518 , p-value 0.9984000000000001 
parcel 233: rho -0.07559401491050881 , p-value 1.0 
parcel 234: rho 0.00183405278362507 , p-value 0.986 
parcel 235: rho -0.08206404998603836 , p-value 1.0 
parcel 236: rho -0.06416980375052551 , p-value 0.9998999999999999 
parcel 237: rho -0.008839432390062851 , p-value 0.9912000000000001 
parcel 238: rho -0.04771913496979827 , p-value 0.9995 
parcel 239: rho 0.011677818476170854 , p-value 0.9791 
parcel 240: rho 0.004584697366431358 , p-value 0.9839 
parcel 241: rho 0.06442463922142459 , p-value 0.8813 
parcel 242: rho -0.04911498168172295 , p-value 0.9995999999999999 
parcel 243: rho 0.029959516824640438 , p-value 0.9597 
parcel 244: rho -0.05063671360979487 , p-value 0.9995999999999999 
parcel 245: rho -0.12368223582841999 , p-value 1.0 
parcel 246: rho -0.0668693191466899 , p-value 0.9998999999999999 
parcel 247: rho -0.054887410334090204 , p-value 0.9995999999999999 
parcel 248: rho -0.0974762468920936 , p-value 1.0 
parcel 249: rho -0.05435853463374172 , p-value 0.9995999999999999 
parcel 250: rho -0.06352239143923699 , p-value 0.9998999999999999 
parcel 251: rho -0.05517764708109486 , p-value 0.9995999999999999 
parcel 252: rho 0.031164804240963625 , p-value 0.9581999999999999 
parcel 253: rho -0.02322919552608301 , p-value 0.9956999999999999 
parcel 254: rho 0.035586628632762705 , p-value 0.9512 
parcel 255: rho -0.14319141705074703 , p-value 1.0 
parcel 256: rho -0.04741376823812712 , p-value 0.9995 
parcel 257: rho 0.0001382868832535584 , p-value 0.9871 
parcel 258: rho 0.038146346821293954 , p-value 0.9472 
parcel 259: rho -0.1064663798124264 , p-value 1.0 
parcel 260: rho -0.010499754549826037 , p-value 0.9915 
parcel 261: rho -0.08357415284424147 , p-value 1.0 
parcel 262: rho -0.03535471040898101 , p-value 0.9981 
parcel 263: rho -0.051624589189897145 , p-value 0.9995999999999999 
parcel 264: rho -0.06269730101674748 , p-value 0.9998999999999999 
parcel 265: rho 0.07805662918903722 , p-value 0.8340000000000001 
parcel 266: rho -0.09010659865192555 , p-value 1.0 
parcel 267: rho -0.061962251063699195 , p-value 0.9998999999999999 
