parcel 251: rho 0.0098185943107025 , p-value 0.981 
parcel 252: rho 0.10241398354389247 , p-value 0.7393000000000001 
parcel 253: rho -0.03859578672522305 , p-value 0.9984999999999999 
parcel 254: rho 0.0019226086845456054 , p-value 0.9852 
parcel 255: rho -0.07711152058652265 , p-value 0.9997 
parcel 256: rho 0.010289168307795547 , p-value 0.9806 
parcel 257: rho -0.0328636154122445 , p-value 0.9982 
parcel 258: rho -0.005572662647211972 , p-value 0.9892 
parcel 259: rho -0.06277199513237956 , p-value 0.9995 
parcel 260: rho 0.046403734928564956 , p-value 0.9318000000000001 
parcel 261: rho 0.026148676934354367 , p-value 0.9662000000000001 
parcel 262: rho 0.07310614532690282 , p-value 0.8564 
parcel 263: rho 0.010911865881352312 , p-value 0.98 
parcel 264: rho -0.0007223234806774004 , p-value 0.9858 
parcel 265: rho -0.039989705879829966 , p-value 0.9986 
parcel 266: rho -0.021691541094620525 , p-value 0.9956999999999999 
parcel 267: rho 0.06312263153265259 , p-value 0.8906000000000001 
