parcel 243: rho -0.00728571000277458 , p-value 0.9902 
parcel 244: rho 0.07256490534131395 , p-value 0.8622 
parcel 245: rho 0.09449068760857668 , p-value 0.7753 
parcel 246: rho 0.009209375651161533 , p-value 0.9806999999999999 
parcel 247: rho 0.07964938207424108 , p-value 0.8366 
parcel 248: rho 0.058417597966535714 , p-value 0.9051 
parcel 249: rho 0.06998587759554012 , p-value 0.8704999999999999 
parcel 250: rho 0.10591698050063417 , p-value 0.7199 
parcel 251: rho 0.04091443645144156 , p-value 0.9440000000000001 
parcel 252: rho 0.027245634024001212 , p-value 0.9614 
parcel 253: rho 0.02101943915138788 , p-value 0.9693999999999999 
parcel 254: rho 0.02934360210684703 , p-value 0.9591 
parcel 255: rho 0.11216346431177754 , p-value 0.6872 
parcel 256: rho 0.08699992563300357 , p-value 0.8083 
parcel 257: rho 0.11163767926312222 , p-value 0.6903 
parcel 258: rho 0.18390315662010334 , p-value 0.29109999999999997 
parcel 259: rho 0.15494149412069363 , p-value 0.4449 
parcel 260: rho 0.10452324548422721 , p-value 0.7269 
parcel 261: rho 0.08620393213283668 , p-value 0.8123999999999999 
parcel 262: rho -0.0021381646351245403 , p-value 0.9871 
parcel 263: rho 0.18769465501625535 , p-value 0.2722 
parcel 264: rho 0.13126376985713126 , p-value 0.5867 
parcel 265: rho 0.09464450514742288 , p-value 0.7745000000000001 
parcel 266: rho 0.09378704048804312 , p-value 0.7785 
parcel 267: rho 0.05347215943941747 , p-value 0.9174 
