parcel 245: rho -0.08934429927360953 , p-value 0.9998999999999999 
parcel 246: rho -0.03689841199525775 , p-value 0.9983 
parcel 247: rho -0.06704785214024314 , p-value 0.9997 
parcel 248: rho -0.14924788449942122 , p-value 1.0 
parcel 249: rho -0.10071784581030639 , p-value 1.0 
parcel 250: rho -0.08337973781089511 , p-value 0.9998999999999999 
parcel 251: rho -0.07970100176274801 , p-value 0.9998999999999999 
parcel 252: rho -0.048979390555396435 , p-value 0.9995 
parcel 253: rho -0.09550840915409431 , p-value 1.0 
parcel 254: rho -0.028380829144128664 , p-value 0.997 
parcel 255: rho -0.1037235908536802 , p-value 1.0 
parcel 256: rho -0.09252460583472914 , p-value 0.9998999999999999 
parcel 257: rho -0.09080817768152358 , p-value 0.9998999999999999 
parcel 258: rho -0.009599532101806179 , p-value 0.9926999999999999 
parcel 259: rho -0.09765806184255578 , p-value 1.0 
parcel 260: rho -0.07496638336314955 , p-value 0.9998999999999999 
parcel 261: rho -0.05485024925210341 , p-value 0.9995999999999999 
parcel 262: rho -0.0071029383796347954 , p-value 0.9917 
parcel 263: rho -0.019668044001046908 , p-value 0.9954000000000001 
parcel 264: rho -0.09005432792501193 , p-value 0.9998999999999999 
parcel 265: rho -0.06978260127200298 , p-value 0.9998999999999999 
parcel 266: rho 0.009665906212305531 , p-value 0.9813 
parcel 267: rho -0.026633053739066447 , p-value 0.9965999999999999 
